 ----------------------header-------------------------- 2018-08-08 10:14:48,796 [1] INFO  loginfo - 文件接收工具启动
2018-08-08 10:14:52,793 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:52,843 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:52,893 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:52,953 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,013 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,063 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,123 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,173 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,233 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,283 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,343 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,393 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,453 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,513 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,563 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,623 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,683 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,733 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,793 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,843 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,903 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:53,963 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,013 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,073 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,133 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,193 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,243 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,303 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,353 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,413 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,463 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,523 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,573 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,633 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,693 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,743 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,803 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,853 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,913 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:54,963 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,023 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,073 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,133 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,193 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,253 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,303 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,363 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,423 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,473 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,533 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,595 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,651 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:14:55,706 [8] INFO  loginfo - 收到数据文件
